aac-	aacA16.NG_052380.1	aac_6___Iaf.NG_047278.1	aac_6___Ip.NG_047307.2	aac_6___Iq.NG_047308.1
aac-_1	aacA57_2.NG_052083.1	aac_6___Ian.NG_047282.1	aac_6___Ian.NG_052170.1
aac-_2	aacA32.NG_052208.1	aac_6___32.NG_047266.1
aac-_3	aacA8.NG_052107.1	aac_6___31.NG_047265.1	aac_6___31.NG_052210.1	aac_6___31.NG_052214.1
aacA10	aacA10.NG_052119.1
ant_2____Ia	ant_2____Ia.NG_047387.1	ant_2____Ia.NG_047389.1	ant_2____Ia.NG_051895.1	ant_2____Ia.NG_052226.1	ant_2____Ia.NG_052242.1	ant_2____Ia.NG_052251.1	ant_2____Ia.NG_052363.1	ant_2____Ia.NG_052367.1	ant_2____Ia.NG_052369.1	ant_2____Ia.NG_052382.1	ant_2____Ia.NG_052383.1	ant_2____Ia.NG_052384.1	ant_2____Ia.NG_052387.1	ant_2____Ia.NG_052432.1	ant_2____Ia.NG_052437.1	ant_2____Ia.NG_052480.1	ant_2____Ia.NG_052495.1	ant_2____Ia.NG_052540.1	ant_2____Ia.NG_064657.1
ant_3____IIa	ant_3____IIa.NG_054646.1	ant_3____IIa.NG_054647.1	ant_3____IIa.NG_054648.1	ant_3____IIa.NG_054649.1	ant_3____IIa.NG_054652.1
ant_3____IIb	ant_3____IIb.NG_054651.1
ant_3____IIc	ant_3____IIc.NG_054653.1
ant_3____IIc_1	ant_3____IIc.NG_054650.1
ant_3____Ib	ant_3____Ib.NG_070719.1
ant_4___IIa	ant_4___IIa.NG_047390.1
ant_4___IIb	ant_4___IIb.NG_047391.1
ant_4___Ic	ant_4___Ic.NG_063817.1
ant_6__Ia	ant_6__Ia.NG_047393.1	ant_6__Ia.NG_047394.1	ant_6__Ia.NG_047395.1
ant_6__Ia_1	ant_6__Ia.NG_050582.1
ant_6__Ib	ant_6__Ib.NG_047396.1
ant_6__Ic	ant_6__Ic.NG_063818.1
ant_9__Ia	ant_9__Ia.NG_047397.1
ant_9__Ib	ant_9__Ib.NG_047398.1
aphA16	aphA16.NG_051908.1
aph_2____I-	aph_2____IVa.NG_047403.1	aph_2____Ie.NG_047404.1
aph_2____IIIa	aph_2____IIIa.NG_047399.1
aph_2____IIa	aph_2____IIa.NG_047400.1	aph_2____IIa.NG_047401.1	aph_2____IIa.NG_047402.1
aph_2____If	aph_2____If.NG_047406.1
aph_2____Ig	aph_2____Ig.NG_047407.1
aph_2____Ih	aph_2____Ih.NG_047408.1
aph_3___II	aph_3___II.NG_054945.1
aph_3___IIIa	aph_3___IIIa.NG_047418.1	aph_3___IIIa.NG_047419.1	aph_3___IIIa.NG_047420.1	aph_3___IIIa.NG_047421.1
aph_3___IIa	aph_3___IIa.NG_047417.1
aph_3___IIb	aph_3___IIb.NG_047423.1	aph_3___IIb.NG_047424.1
aph_3___IIc	aph_3___IIc.NG_047426.1
aph_3___IIc_1	aph_3___IIc.NG_051214.1
aph_3___IVa	aph_3___IVa.NG_047428.1
aph_3___IX	aph_3___IX.NG_055648.1
aph_3___Ia	aph_3___Ia.NG_047429.1	aph_3___Ia.NG_047430.1	aph_3___Ia.NG_047431.1	aph_3___Ia.NG_047432.1	aph_3___Ia.NG_047435.1	aph_3___Ia.NG_047436.1	aph_3___Ia.NG_047437.1	aph_3___Ia.NG_047438.1	aph_3___Ia.NG_047439.1	aph_3___Ia.NG_047440.1	aph_3___Ia.NG_047441.1	aph_3___Ia.NG_056047.1
aph_3___Ib	aph_3___Ib.NG_047442.1	aph_3___Ib.NG_059324.1
aph_3___Id	aph_3___Id.NG_047445.1
aph_3___VI-	aph_3___VI.NG_051730.1	aph_3___VIa.NG_047448.1	aph_3___VIb.NG_047449.1
aph_3___VIIIa	aph_3___VIIIa.NG_047446.1
aph_3___VIIIb	aph_3___VIIIb.NG_055649.1
aph_3___VIIa	aph_3___VIIa.NG_047447.1
aph_3___Va	aph_3___Va.NG_047450.1	aph_3___Va.NG_047451.1
aph_3___Vb	aph_3___Vb.NG_047452.1	aph_3___Vb.NG_047453.1
aph_3___Vc	aph_3___Vc.NG_047454.1
aph_3___XV	aph_3___XV.NG_047455.1	aph_3___XV.NG_052270.1	aph_3___XV.NG_052510.1
aph_3____Ia	aph_3____Ia.NG_047409.1	aph_3____Ia.NG_047410.1	aph_3____Ia.NG_047411.1
aph_3____Ib	aph_3____Ib.NG_047412.1	aph_3____Ib.NG_047413.1	aph_3____Ib.NG_047414.1	aph_3____Ib.NG_047415.1	aph_3____Ib.NG_056002.2
aph_3____Ic	aph_3____Ic.NG_047416.1
aph_4__Ia	aph_4__Ia.NG_047456.1
aph_6_	aph_6_.NG_047425.1	aph_6_.NG_047427.1
aph_6__Ia	aph_6__Ia.NG_047458.1	aph_6__Ia.NG_047459.1
aph_6__Ib	aph_6__Ib.NG_047460.1
aph_6__Ic	aph_6__Ic.NG_047463.1
aph_6__Id	aph_6__Id.NG_047464.1	aph_6__Id.NG_047465.1	aph_6__Id.NG_047466.1	aph_6__Id.NG_047467.1	aph_6__Id.NG_047469.1
aph_7____Ia	aph_7____Ia.NG_047472.1
aph_9__Ia	aph_9__Ia.NG_047473.1
aph_9__Ia_1	aph_9__Ia.NG_051696.1
aph_9__Ib	aph_9__Ib.NG_047474.1
apmA	apmA.NG_047475.1	apmA.NG_051938.1
armA	armA.NG_047476.1
arr	arr.NG_047479.1	arr.NG_048584.1
arr-	arr.NG_047478.1	arr_2.NG_048580.1	arr_3.NG_048581.1	arr_3.NG_052173.1	arr_3.NG_052327.1
arr_1	arr.NG_047477.1
arr_2	arr.NG_047480.1
arr_4	arr_4.NG_048582.1
arr_5	arr_5.NG_048583.1
arr_7	arr_7.NG_048585.1
arr_8	arr_8.NG_048586.1
bcrB	bcrB.NG_055638.1
bcrC	bcrC.NG_055639.1
bla	bla.NG_047487.1
